IMS_ID,IMS_Name,Matched_DB_ID,Matched_DB_Name,Distance_KM,Confidence_Score
77,Lod,7000.0,Lod,0.79,100
6,Ashdod,70.0,Ashdod,1.02,100
3,Haifa,4000.0,Haifa,2.36,100
1,Jerusalem,3000.0,Jerusalem,2.04,100
10,Holon,6600.0,Holon,0.96,100
11,Ramat Gan,8600.0,Ramat Gan,1.77,100
13,Rehovot,8400.0,Rehovot,0.73,100
14,Bat Yam,6200.0,Bat Yam,0.91,100
15,Bet Shemesh,2610.0,Bet Shemesh,1.99,100
32,Rosh Haayin,2640.0,Rosh HaAyin,1.38,100
18,Hadera,6500.0,Hadera,0.44,100
23,Rahat,1161.0,Rahat,0.37,100
44,Nof Hagalil,1061.0,Nof HaGalil,0.61,100
35,Akko,7600.0,Akko,1.3,100
33,Afula,7700.0,Afula,1.4,100
37,Ramat Hasharon,2650.0,Ramat HaSharon,0.51,100
40,Tiberias,6700.0,Tiberias,1.5,100
41,Tayibe,2730.0,Tayibe,0.51,100
54,Sakhnin,7500.0,Sakhnin,0.56,100
51,Netivot,246.0,Netivot,1.18,100
52,Dimona,2200.0,Dimona,0.64,100
49,Or Yehuda,2400.0,Or Yehuda,0.75,100
50,Zefat,8000.0,Zefat,1.14,100
60,Arad,2560.0,Arad,0.38,100
64,Nesher,2500.0,Nesher,0.38,100
20,Ramla,8500.0,Ramla,0.38,100
24,Hod Hasharon,9700.0,Hod HaSharon,0.49,100
212,Korazim,1252.0,Korazim,1.28,100
80,En Gedi,2042.0,En Gedi,1.56,100
76,Mizpe Ramon,99.0,Mizpe Ramon,1.49,100
79,Qazrin,4100.0,Qazrin,0.18,100
248,Bet Guvrin,619.0,Bet Guvrin,0.84,100
613,Tel Yosef,84.0,Tel Yosef,3.48,100
702,Gilgal,3606.0,Gilgal,0.46,100
707,Hazeva,13.0,Hazeva,0.31,100
709,Itamar,3762.0,Itamar,0.17,100
713,Qiryat Arba,3611.0,Qiryat Arba,0.71,100
715,Negohot,3724.0,Negohot,0.01,100
